Afghanistan,B15314,Asia,38928346,652860,59.62740251
Albania,343F77,Europe,2877797,27400,105.0290876
Algeria,355C37,Africa,43851044,2381044,18.4167298
Andorra,Null,Europe,77265,470,164.393617
Angola,346038,Africa,32866272,1264700,25.98740571
Antigua and Barbuda,Null,North America,97929,440,222.5659091
Argentina,B4AC15,South America,45195774,2763690,16.35341663
Armenia,B35511,Asia,2963243,28470,104.0829996
Australia,502F5B,Oceania,25499884,7682300,3.319303334
Austria,313D78,Europe,9006398,82409,109.2890097
Azerbaijan,B35411,Asia,10139177,82658,122.6641946
Bahamas,Null,North America,393244,10010,39.28511489
Bahrain,Null,Asia,1701575,760,2238.914474
Bangladesh,B45314,Asia,164689383,130170,1265.186932
Barbados,Null,North America,287375,430,668.3139535
Belarus,313B77,Europe,9449323,202910,46.56903553
Belgium,333D7B,Europe,11589623,30280,382.7484478
Belize,34898D,North America,397628,22810,17.43217887
Benin,385F37,Africa,12123200,112760,107.5133026
Bhutan,B25214,Asia,771608,38117,20.2431461
Bolivia,B2AB15,South America,11673021,1083300,10.77542786
Bosnia and Herzegovina,303C78,Europe,3280819,51000,64.32978431
Botswana,395F38,Africa,2351627,566730,4.149466236
Brazil,B0AB15,South America,212559417,8358140,25.43142577
Brunei,Null,Asia,437479,5270,83.01309298
Bulgaria,323D77,Europe,6948445,108560,64.00557296
Burkina Faso,355F37,Africa,20903273,273600,76.40085161
Burundi,376038,Africa,11890784,25680,463.0367601
Cabo Verde,Null,Africa,555987,4030,137.9620347
Cambodia,B15614,Asia,16718965,176520,94.71428167
Cameroon,3A5F37,Africa,26545863,472710,56.15676207
Canada,348E8D,North America,37742154,9093510,4.150449496
Central African Republic,3B5F37,Africa,4829767,622980,7.752683874
Chad,375D37,Africa,16425864,1259200,13.04468234
Chile,B4AD15,South America,19116201,743532,25.70999096
China,B25412,Asia,1439323776,9388211,153.3118265
Colombia,B5AA15,South America,50882891,1109500,45.8611005
Comoros,Null,Africa,869601,1861,467.2761956
Congo,366037,Africa,5518087,341500,16.15838067
Costa Rica,348C8C,North America,5094118,51060,99.76729338
Cote d'Ivoire,345F37,Africa,26378274,318000,82.95054717
Croatia,313B7B,Europe,4105267,55960,73.36073981
Cuba,348E8C,North America,11326616,106440,106.413153
Cyprus,B45512,Europe,1207359,9240,130.6665584
Czech Republic,323D78,Europe,10708981,77240,138.6455334
DR Congo,376037,Africa,89561403,2267050,39.50570257
Denmark,333C7C,Europe,5792202,42430,136.5119491
Djibouti,3B6037,Africa,988000,23180,42.62295082
Dominica,Null,North America,71986,750,95.98133333
Dominican Republic,348C8B,North America,10847910,48320,224.5014487
Ecuador,B0AA15,South America,17643054,248360,71.03822677
Egypt,345D37,Africa,102334404,995450,102.8021538
El Salvador,34898C,North America,6486205,20720,313.0407819
Equatorial Guinea,346037,Africa,1402985,28050,50.01729055
Eritrea,365D37,Africa,3546421,101000,35.11307921
Estonia,323B7C,Europe,1326535,42390,31.29358339
Eswatini,3.65E+40,Africa,1160164,17200,67.45139535
Ethiopia,3C6037,Africa,114963588,1000000,114.963588
Fiji,Null,Oceania,896445,18720,47.88701923
Finland,313D7C,Europe,5540720,303890,18.23264997
France,323F7A,Europe,65273511,547557,119.2086139
French Guiana,B1AA15,South America,290691,83534,3.479912371
Gabon,356037,Africa,2225734,257670,8.637924477
Gambia,3.85E+39,Africa,2416668,10120,238.8011858
Georgia,B35311,Asia,3989167,69490,57.40634624
Germany,333D7A,Europe,83783942,348560,240.3716491
Ghana,365F37,Africa,31072940,227540,136.560341
Greece,303C7C,Europe,10423054,128900,80.86155159
Greenland,348C8D,North America,56025,2166086,0.025864624
Greneda,Null,North America,112523,340,330.95
Guatemala,348A8D,North America,17915568,107160,167.1852184
Guinea,3.65E+39,Africa,13132795,245720,53.44617858
Guinea-Bissau,3.75E+39,Africa,1968001,28120,69.98581081
Guyana,B3AA15,South America,786552,196850,3.995692151
Haiti,348D8B,North America,11402528,27560,413.734688
Honduras,348A8C,North America,9904607,111890,88.52093127
Hungary,3.33E+80,Europe,9660351,90530,106.7088368
Iceland,323F7B,Europe,341243,100250,3.4039202
India,B25414,Asia,1380004385,2937190,469.8383097
Indonesia,B05714,Asia,273523615,1811570,150.9870527
Iran,B45613,Asia,83992949,1628550,51.57529643
Iraq,B45513,Asia,40222493,434320,92.61027123
Ireland,323E7B,Europe,4937786,68890,71.67638264
Israel,B25513,Asia,8655535,21640,399.978512
Italy,303C7B,Europe,60461826,294140,205.5545863
Jamaica,348E8B,North America,2961167,10830,273.4226223
Japan,B55814,Asia,126476461,364555,346.9338262
Jordan,B35513,Asia,10203134,88780,114.9260419
Kazakhstan,B35412,Asia,18776707,2699700,6.955108716
Kenya,396037,Africa,53771296,569140,94.478153
Kiribati,Null,Oceania,119449,810,147.4679012
Kuwait,B45511,Asia,4270571,17820,239.6504489
Kyrgyzstan,B15211,Asia,6524195,191800,34.01561522
Laos,B35614,Asia,7275560,230800,31.52322357
Latvia,303A77,Europe,1886198,62200,30.32472669
Lebanon,B25413,Asia,6825445,10230,667.1989247
Lesotho,365F38,Africa,2142294,30360,70.56304348
Liberia,3.45E+39,Africa,5057681,96320,52.50914659
Libya,345C37,Africa,6871292,1759540,3.90516385
Liechtenstein,Null,Europe,38128,160,238.3
Lithuania,303B77,Europe,2722289,62674,43.43569901
Luxembourg,Null,Europe,625978,2590,241.6903475
Madagascar,3.75E+40,Africa,27691018,581795,47.59583358
Malawi,396038,Africa,19129952,94280,202.9057276
Malaysia,B05614,Asia,32365999,328550,98.51163902
Maldives,Null,Asia,540544,300,1801.813333
Mali,395D37,Africa,20250833,1220190,16.59645875
Malta,303B7C,Europe,441543,320,1379.821875
Marshall Islands,Null,Oceania,59190,180,328.8333333
Mauritania,3A5D37,Africa,4649658,1030000,4.514231068
Mauritius,Null,Africa,1271768,2030,626.4866995
Mexico,348B8D,North America,128932753,1943950,66.32513851
Micronesia,Null,Oceania,115023,700,164.3185714
Moldova,323C77,Europe,4033963,32850,122.7994825
Monaco,Null,Europe,39242,1,39242
Mongolia,B35414,Asia,3278290,1553560,2.110179201
Montenegro,343F78,Europe,628066,13450,46.69635688
Morocco,355B37,Africa,36910560,446300,82.703473
Mozambique,3A6038,Africa,31255435,786380,39.74596887
Myanmar,B45414,Asia,54409800,653290,83.28583018
Namibia,385F38,Africa,2540905,823290,3.086281869
Nauru,Null,Oceania,10825,20,541.25
Nepal,B35214,Asia,29136808,143350,203.2564213
Netherlands,333D7C,Europe,17134872,33720,508.1516014
New Zealand,50305B,Oceania,4822233,263310,18.31389997
Nicaragua,348B8C,North America,6624554,120340,55.0486455
Niger,385D37,Africa,24206644,1266700,19.11000553
Nigeria,395F37,Africa,206139589,910770,226.3355062
North Korea,B45714,Asia,25778816,120410,214.0919857
North Macedonia,3.33E+79,Europe,2083374,25220,82.60800952
Norway,323C7C,Europe,5421241,365268,14.84181751
Oman,B55711,Asia,5106626,309500,16.49959935
Pakistan,B25314,Asia,220892340,770880,286.545688
Palau,Null,Oceania,18094,460,39.33478261
Palestine State,Null,Asia,5101414,6020,847.4109635
Panama,348D8C,North America,4314767,74340,58.04098736
Papua New Guinea,4F305B,Oceania,8947024,452860,19.75671068
Paraguay,B3AB15,South America,7132538,397300,17.95252454
Peru,B1AB15,South America,32971854,1280000,25.75926094
Philippines,B25714,Asia,109581078,298170,367.5120837
Poland,303D7C,Europe,37846611,306230,123.5888417
Portugal,333E7A,Europe,10196709,91590,111.3299378
Puerto Rico,348B8B,North America,3193694,13800,231.4271014
Qatar,B45611,Asia,2881053,11610,248.1527132
Romania,333D77,Europe,19237691,230170,83.580358
Russia,313B7C|B35512,Asia / Europe,145934462,16376870,8.91101059
Rwanda,386038,Africa,12952218,24670,525.0189704
Saint Kitts and Nevis,Null,North America,53199,260,204.6115385
Saint Lucia,Null,North America,183627,610,301.0278689
Saint Vincent and the Grenadines,Null,North America,110940,390,284.4615385
Samoa,Null,Oceania,198414,2830,70.11095406
San Marino,Null,Europe,33931,60,565.5166667
Sao Tome and Principe,Null,Africa,219159,960,228.290625
Saudi Arabia,B55613,Asia,34813871,2149690,16.19483321
Senegal,3.95E+39,Africa,16743927,192530,86.96788552
Serbia,3.43E+79,Europe,8737371,87460,99.90133775
Seychelles,Null,Africa,98374,460,213.8565217
Sierra Leone,3.55E+39,Africa,7976983,72180,110.5151427
Singapore,Null,Asia,5850342,700,8357.631429
Slovakia,333D78,Europe,5459642,48088,113.5343953
Slovenia,333F78,Europe,2078938,20140,103.2243297
Solomon Islands,Null,Oceania,686884,27990,24.54033583
Somalia,3A6037,Africa,15893222,627340,25.33430357
South Africa,375F38,Africa,59308690,1213090,48.89059344
South Korea,B45814,Asia,51269185,97230,527.2980047
South Sudan,3C5F37,Africa,11193725,610952,18.32177487
Spain,333F7A,Europe,46754778,498800,93.73451885
